Movement_Mag,HR,SpO2,Label
0.9503810859338684,86,98,0
2.9516549407836328,127,90,1
3.0894399874220886,125,89,1
2.9810484312720815,125,87,1
3.9946880039942645,121,85,1
1.019808080209767,94,96,0
0.8375068763170236,70,97,0
1.1173665870285079,67,99,0
4.991813139988086,157,88,1
0.9900860939338418,71,96,0
2.862617245379285,147,86,1
0.9304305744826744,65,97,0
4.012069133207198,135,87,1
0.9849483460828203,95,96,0
1.1481545864214677,74,96,0
3.2223401648401433,154,90,1
3.569457535652035,152,85,1
4.690491191676157,135,88,1
0.8047159584245173,84,95,0
1.1570498783202838,98,97,0
0.8946583026643274,60,95,0
1.0585228581577,82,99,0
0.9528010193603013,85,99,0
4.7670737001284085,148,86,1
4.995198370365154,140,85,1
0.9396691603037277,61,97,0
1.118488132822329,91,98,0
1.0666978904434616,90,97,0
3.2241073282317037,128,88,1
0.9539422937199451,85,96,0
1.0041224772784774,83,96,0
0.9497325445376477,95,98,0
4.9381399898063565,141,86,1
3.735577945740327,145,87,1
1.123124336567585,86,95,0
0.8777313015771331,62,96,0
0.9969680609194738,68,98,0
0.981864124692235,70,97,0
1.0601171226758659,64,97,0
4.4172141060281405,159,88,1
2.8354367326762513,126,86,1
4.050986057063307,145,86,1
2.837790425549191,157,89,1
3.8042314346616832,148,90,1
0.9302726850564745,92,98,0
4.748359009481684,144,86,1
0.8001580575902454,75,95,0
4.940262154079274,136,89,1
4.611325678692055,135,88,1
1.1957770249232311,73,98,0
1.0584116696896844,91,98,0
1.090835678480913,60,99,0
4.109660947946084,128,85,1
1.0648145974273089,68,96,0
0.9439510499102022,66,97,0
2.9410900655408407,111,89,1
4.662998547329534,156,88,1
3.7386373126828696,143,86,1
4.981645086391074,156,91,1
1.1408071914526643,90,95,0
1.0224874847065426,76,97,0
0.9677693269339354,72,99,0
0.8013458075059657,84,96,0
4.628690995171588,125,87,1
1.0971970146799035,90,98,0
1.1099041289414049,64,95,0
0.92615755189698,83,97,0
4.73806739708748,120,87,1
1.13920649328732,63,96,0
1.0226153385035144,90,95,0
4.805747256057959,115,86,1
0.9815928655793507,63,97,0
0.9081231638743102,71,97,0
3.721074784637116,120,87,1
3.756516870905773,120,87,1
0.9564858495350417,77,97,0
0.9648926877869279,95,95,0
4.232971025805397,146,85,1
2.741184741890987,141,85,1
3.10661087709766,112,87,1
1.1455662655551804,61,96,0
2.66042604033142,121,88,1
3.258996397696309,127,86,1
0.932892830505955,99,98,0
3.9406286074439487,111,91,1
1.0188966149869054,65,99,0
1.1767846754764122,86,99,0
0.8907976663299694,65,96,0
0.8241728120294278,66,96,0
3.4753911983261405,148,86,1
1.0810513134087953,71,95,0
3.9880868363355435,123,87,1
2.603273099956017,144,85,1
1.0361061497629787,70,95,0
2.5515940416175438,136,90,1
3.943205825205578,128,88,1
2.99246498424194,127,86,1
1.140391743130363,71,95,0
3.475683591774299,110,89,1
1.0011585789043471,98,97,0
1.0888566252825298,97,95,0
1.0057129179694542,87,95,0
3.349396605306663,128,89,1
4.4098780666107675,132,85,1
4.25522883924212,113,89,1
3.5510934932937133,151,91,1
1.0195535865657452,98,98,0
0.8008058248525399,86,96,0
1.1138681463517413,79,95,0
3.5532503841061,150,86,1
4.415052820996024,123,91,1
4.118736338551093,110,86,1
1.1239791594130073,99,97,0
4.216144826952842,128,86,1
3.6896694126192737,129,91,1
4.753556731348068,123,91,1
4.505530642531811,148,85,1
0.8321844187850487,66,97,0
1.013975409987166,61,95,0
0.8127565807461832,78,98,0
1.1427225738429352,98,95,0
0.8021069028773675,65,97,0
1.0288745603006344,63,95,0
4.63822731009332,142,90,1
